Time,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,label
11.944,-48.54,-48.45,-48.93,-49.13,-49.84,-50.32,-51.65,-53.57,fist
11.955,-41.52,-41.38,-41.83,-42.05,-42.51,-43.08,-44.33,-46.45,fist
11.965,-47.03,-46.38,-46.45,-46.39,-46.31,-46.46,-47.01,-48.01,fist
11.975,-34.93,-34.07,-34.24,-34.11,-34.16,-33.79,-33.93,-34.87,fist
11.985,40.11,40.29,39.41,38.71,37.33,36.68,35.45,33.33,fist
11.995,100.89,100.26,99.02,97.59,95.45,93.34,90.84,88.65,fist
12.005,73.02,71.64,70.45,68.9,67.18,64.84,62.32,61.23,fist
12.015,-26.78,-27.58,-27.93,-28.51,-28.69,-29.31,-30.05,-29.7,fist
12.025,-84.49,-83.63,-82.48,-81.26,-79.51,-77.59,-75.89,-74.61,fist
12.035,-28.21,-27.16,-25.93,-24.45,-23.02,-20.9,-19.04,-18.4,fist
12.045,25.27,26.17,26.8,28.01,28.69,30.34,31.85,32.24,fist
12.055,22.21,23.3,23.91,25.57,26.87,29.37,31.94,33.2,fist
12.065,23.14,23.33,23.35,24.5,25.36,27.6,30.16,31.35,fist
12.075,8.49,8.11,7.94,8.37,8.71,10.02,11.88,12.73,fist
12.087,-14.12,-13.9,-13.26,-12.7,-11.83,-10.7,-8.95,-7.77,fist
12.097999999999999,-7.36,-6.31,-5.04,-4.11,-2.77,-1.54,0.31,1.87,fist
12.11,8.75,10.46,11.93,13.43,15.28,17.17,19.7,21.8,fist
12.120999999999999,20.85,22.1,23.0,24.4,26.09,28.17,31.04,33.26,fist
12.133,16.54,16.6,16.54,16.97,17.64,18.72,20.76,22.25,fist
12.145,-7.91,-8.69,-9.12,-9.68,-9.81,-10.15,-9.48,-8.84,fist
12.155,-28.72,-29.85,-30.28,-31.81,-32.71,-34.84,-36.09,-36.34,fist
12.165999999999999,-32.21,-32.97,-33.24,-35.11,-36.4,-39.71,-42.47,-43.46,fist
12.175999999999998,-20.62,-21.62,-22.32,-24.58,-26.41,-30.57,-34.46,-36.06,fist
12.187000000000001,-16.39,-19.07,-21.49,-25.5,-29.42,-35.96,-42.54,-45.89,fist
12.197000000000001,-23.72,-27.69,-31.2,-36.37,-41.71,-49.96,-58.69,-63.92,fist
12.208,0.34,-3.32,-6.18,-9.95,-14.29,-20.47,-27.51,-32.54,fist
12.219000000000001,44.5,43.39,42.23,41.79,39.96,38.85,36.26,33.09,fist
12.229000000000001,40.27,42.65,43.55,46.35,47.48,51.24,52.8,52.05,fist
12.239,-1.66,1.31,3.09,6.4,8.72,13.56,15.84,16.74,fist
12.25,-34.26,-33.09,-31.91,-30.19,-28.94,-26.09,-26.12,-25.48,fist
12.26,-49.89,-49.8,-49.25,-48.61,-48.36,-47.01,-48.34,-48.59,fist
12.270999999999999,-23.54,-23.56,-23.15,-22.63,-22.21,-20.9,-20.53,-20.38,fist
12.280999999999999,30.77,31.49,32.58,34.06,36.3,39.28,43.83,46.63,fist
12.29,49.27,51.53,53.76,56.7,61.15,66.26,74.29,79.73,fist
12.3,37.17,40.22,42.48,45.48,49.69,54.43,61.57,66.13,fist
12.31,28.16,30.27,31.34,32.97,35.09,37.45,41.39,43.41,fist
12.32,28.41,28.35,27.86,27.72,27.61,27.35,28.64,28.98,fist
12.33,25.09,23.38,21.8,20.21,18.49,16.27,15.5,14.5,fist
12.34,-8.53,-9.86,-10.86,-12.31,-13.51,-15.39,-16.16,-16.8,fist
12.35,-40.84,-40.95,-40.8,-41.31,-41.3,-41.95,-41.94,-41.61,fist
12.36,-30.91,-30.8,-30.98,-31.54,-32.38,-33.53,-34.82,-36.11,fist
12.37,-7.78,-7.95,-8.86,-9.79,-11.78,-13.67,-16.34,-19.11,fist
12.38,-10.23,-10.4,-10.62,-10.99,-11.73,-12.53,-14.05,-14.51,fist
12.39,-35.92,-36.05,-34.96,-34.32,-32.55,-31.41,-30.48,-26.98,fist
12.4,-17.91,-18.72,-18.03,-17.64,-16.07,-15.22,-14.28,-10.9,fist
12.41,41.09,39.57,38.63,37.72,36.4,35.02,33.22,32.1,fist
12.419,34.17,33.47,32.51,31.52,29.3,27.6,24.88,21.5,fist
12.429,-21.31,-21.05,-21.03,-21.41,-22.5,-23.26,-24.93,-27.15,fist
12.439,-42.46,-42.15,-41.83,-42.05,-42.4,-42.99,-44.13,-45.25,fist
12.449000000000002,-28.97,-28.47,-28.08,-28.02,-27.91,-28.31,-29.15,-29.66,fist
12.462,-13.6,-13.15,-12.92,-12.55,-11.95,-11.85,-11.88,-11.49,fist
12.474,-15.0,-15.3,-15.54,-15.22,-14.24,-13.54,-12.2,-10.29,fist
12.485999999999999,3.38,2.23,1.31,0.97,0.98,1.14,2.23,3.65,fist
12.499,32.45,31.35,30.3,29.5,28.09,27.1,26.29,24.98,fist
12.511,36.68,36.39,35.89,35.31,33.71,32.55,30.65,27.65,fist
12.523,50.93,50.83,50.1,49.37,47.48,46.14,43.79,40.16,fist
12.533,48.43,48.77,48.16,47.67,46.57,45.93,44.75,42.66,fist
12.544,14.16,15.38,16.08,16.68,17.89,19.03,20.28,21.45,fist
12.554,-9.41,-7.94,-6.02,-4.5,-1.33,1.01,3.92,7.4,fist
12.564,-30.2,-28.83,-26.56,-24.73,-20.98,-18.34,-14.97,-10.75,fist
12.574000000000002,-19.03,-18.93,-18.51,-18.29,-17.68,-17.47,-17.03,-16.32,fist
12.584000000000001,19.61,18.19,16.49,14.84,11.79,9.25,6.33,2.71,fist
12.594000000000001,16.36,15.61,14.76,13.95,12.1,10.89,9.37,7.17,fist
12.604000000000001,-24.23,-22.87,-21.54,-20.16,-18.39,-16.34,-14.12,-11.95,fist
12.614,-62.19,-59.65,-57.33,-54.82,-51.04,-47.27,-42.99,-38.17,fist
12.624,-53.36,-52.27,-51.32,-50.0,-47.93,-45.74,-43.02,-39.68,fist
12.634,-2.78,-4.31,-5.71,-6.61,-7.86,-8.74,-9.15,-9.08,fist
12.644,26.93,24.52,22.37,20.66,18.45,16.51,14.98,14.08,fist
12.654000000000002,29.67,27.89,26.17,24.79,22.91,21.29,19.66,18.12,fist
12.664000000000001,17.43,16.91,16.09,15.64,14.3,13.61,12.34,10.01,fist
12.674000000000001,-7.15,-7.02,-7.27,-7.06,-8.16,-8.24,-8.93,-11.13,fist
12.684000000000001,-17.39,-18.0,-18.6,-18.69,-20.23,-20.62,-21.19,-22.93,fist
12.694,-6.16,-6.7,-6.95,-6.84,-7.41,-7.18,-6.85,-7.1,fist
12.704,7.79,8.31,9.0,9.58,10.59,11.5,12.33,13.13,fist
12.714,9.19,10.27,11.39,11.7,13.11,13.31,13.22,13.61,fist
12.724,1.69,2.53,3.5,3.19,3.97,3.0,1.86,1.74,fist
12.734000000000002,-2.92,-2.85,-2.19,-2.94,-2.5,-3.96,-5.07,-4.55,fist
12.744000000000002,-1.61,-1.31,-0.01,-0.25,1.58,1.14,1.39,3.77,fist
12.754000000000001,8.32,9.14,10.59,10.67,12.82,12.76,13.01,14.82,fist
12.764000000000001,18.76,19.04,19.06,18.53,18.36,17.28,15.84,14.24,fist
12.774000000000001,5.23,5.32,4.72,4.54,3.47,3.08,2.23,0.17,fist
12.784,-19.32,-18.9,-18.67,-17.51,-16.8,-14.92,-12.9,-11.37,fist
12.793,-2.59,-2.22,-1.89,-0.49,0.64,2.88,5.42,8.16,fist
12.802999999999999,46.83,46.31,44.88,44.62,42.84,42.28,41.47,40.12,fist
12.812999999999999,52.3,51.06,48.92,47.54,44.44,42.22,39.72,36.25,fist
12.823,-10.22,-10.3,-10.26,-10.18,-10.04,-9.77,-9.13,-8.71,fist
12.834000000000001,-59.11,-58.54,-57.42,-56.23,-54.37,-52.22,-49.64,-47.1,fist
12.845,-34.4,-35.03,-35.61,-35.46,-36.24,-35.6,-35.31,-36.11,fist
12.855,-2.04,-2.96,-4.75,-5.32,-8.17,-8.76,-10.41,-13.9,fist
12.866,-10.0,-10.44,-12.05,-12.39,-14.8,-15.0,-16.12,-18.77,fist
12.877,-19.34,-19.82,-20.84,-21.04,-22.12,-21.79,-21.65,-22.16,fist
12.887,-18.84,-19.18,-19.09,-19.12,-18.49,-17.89,-16.83,-15.41,fist
12.898,-8.88,-8.88,-7.76,-7.71,-5.93,-5.65,-4.76,-2.72,fist
12.908,16.4,16.64,17.75,17.52,18.72,18.03,17.47,17.98,fist
12.919,31.38,31.93,32.63,32.26,32.59,31.41,29.89,29.06,fist
17.665,-39.49,-39.68,-39.77,-40.17,-40.51,-41.29,-42.25,-43.63,fist
17.675,-24.81,-24.6,-24.29,-24.05,-23.58,-23.78,-24.05,-24.67,fist
17.685,12.71,13.33,14.14,14.91,15.99,16.4,16.87,17.45,fist
17.695,47.25,47.94,48.63,49.37,50.03,50.54,51.2,52.08,fist
17.705,46.38,47.07,47.12,47.51,47.32,47.63,48.09,48.27,fist
17.715,17.42,18.26,17.93,18.15,17.73,18.02,18.38,18.08,fist
17.725,-2.29,-1.87,-2.36,-2.29,-2.67,-2.65,-2.38,-2.53,fist
17.735,4.42,4.12,3.68,3.71,3.42,3.25,3.69,4.39,fist
17.745,19.3,18.48,18.33,18.43,18.21,18.11,18.85,20.33,fist
17.755,31.91,31.24,31.81,32.24,32.75,33.17,34.41,36.58,fist
17.765,33.17,33.3,34.72,35.65,37.36,38.65,40.31,43.1,fist
17.775,1.2,1.28,2.36,2.85,4.15,5.15,5.68,7.28,fist
17.785999999999998,-38.13,-38.93,-39.03,-39.62,-39.89,-40.12,-41.31,-42.1,fist
17.796,-38.6,-39.7,-40.27,-41.32,-42.24,-43.15,-44.75,-46.87,fist
17.805999999999997,-19.41,-20.16,-20.78,-21.66,-22.54,-23.53,-24.59,-26.83,fist
17.816,-21.05,-21.42,-22.19,-22.78,-23.7,-24.34,-24.77,-26.6,fist
17.826,-27.61,-27.61,-28.36,-28.65,-29.6,-29.69,-29.67,-31.12,fist
17.836,2.91,3.21,2.63,2.5,1.94,2.16,2.47,1.44,fist
17.846,50.38,50.63,50.16,49.95,50.05,50.23,50.65,50.12,fist
17.855999999999998,47.96,47.69,47.24,46.83,47.17,47.1,47.39,47.15,fist
17.866,10.54,10.08,9.67,9.31,9.38,9.03,8.98,8.64,fist
17.875999999999998,7.14,7.67,7.41,7.47,7.17,6.72,6.13,4.88,fist
17.886,17.0,18.57,18.55,19.07,18.82,18.75,18.12,16.55,fist
17.897000000000002,-22.74,-21.07,-20.26,-19.23,-18.31,-17.26,-16.71,-16.44,fist
17.907,-94.85,-93.55,-91.4,-89.79,-87.16,-84.96,-82.81,-79.9,fist
17.917,-109.38,-109.33,-107.07,-105.9,-103.15,-101.44,-99.2,-95.21,fist
17.927,-30.11,-31.71,-31.1,-31.45,-30.82,-31.13,-30.89,-28.67,fist
17.937,48.09,45.55,44.4,42.85,41.37,39.49,38.05,38.49,fist
17.947,52.27,49.7,47.9,46.14,44.16,42.19,40.97,42.16,fist
17.96,34.36,33.22,31.77,30.68,29.03,27.79,27.21,28.44,fist
17.972,38.51,39.58,38.91,38.84,37.57,37.0,36.45,35.34,fist
17.984,40.07,42.7,42.96,43.89,43.16,43.21,42.66,39.1,fist
17.996,28.64,31.15,32.13,33.45,33.72,34.28,34.41,31.27,fist
18.008,24.71,25.93,27.07,28.09,29.46,30.39,31.62,31.55,fist
18.02,20.77,21.8,22.73,23.52,25.05,26.13,27.29,28.13,fist
18.029,-8.08,-7.47,-6.98,-6.72,-5.78,-5.01,-4.54,-3.63,fist
18.038,-58.94,-60.18,-60.17,-60.73,-59.98,-59.54,-58.94,-55.78,fist
18.046,-86.61,-88.72,-89.77,-91.07,-91.98,-92.57,-93.82,-92.48,fist
18.055,-41.92,-44.05,-46.83,-49.04,-53.49,-56.27,-61.65,-66.78,fist
18.064,41.6,39.78,37.01,34.97,29.97,26.74,20.75,13.83,fist
18.073,86.67,86.21,85.78,85.59,84.53,83.97,82.71,81.19,fist
18.083,52.09,53.18,55.28,57.15,60.41,63.02,66.8,70.83,fist
18.094,-35.55,-33.58,-30.24,-27.35,-22.56,-18.94,-14.08,-9.53,fist
18.105,-71.2,-70.12,-67.68,-65.65,-62.26,-60.35,-57.87,-55.53,fist
18.115,-45.09,-45.95,-45.83,-45.75,-45.01,-45.51,-46.0,-45.62,fist
18.125999999999998,-28.55,-29.84,-31.6,-32.75,-34.36,-35.8,-37.87,-39.79,fist
18.137,12.87,12.39,10.26,9.01,6.44,5.36,3.66,0.26,fist
18.147000000000002,46.09,46.77,46.39,46.23,45.6,46.07,47.24,46.4,fist
18.157,3.76,5.45,6.99,8.04,10.17,12.23,16.48,19.86,fist
18.167,-22.77,-21.59,-20.73,-20.14,-18.35,-16.85,-13.12,-9.59,fist
18.177,2.95,3.41,3.04,2.85,3.24,3.49,5.21,6.5,fist
18.188,38.93,38.86,38.4,37.84,37.7,36.87,37.15,37.16,fist
18.198,45.11,43.53,43.16,41.87,41.19,38.9,37.58,37.23,fist
18.208,3.03,1.19,1.13,-0.11,-0.81,-3.12,-5.05,-5.38,fist
18.219,-8.19,-9.05,-9.52,-10.3,-11.85,-13.58,-16.23,-18.34,fist
18.23,-27.8,-27.72,-27.7,-27.56,-28.63,-29.19,-31.01,-32.67,fist
18.24,-76.06,-74.44,-72.5,-70.72,-68.97,-67.14,-65.83,-63.73,fist
18.250999999999998,-1.52,-0.19,0.49,1.45,2.13,3.48,4.13,4.9,fist
18.262,108.06,107.4,105.05,103.84,101.15,100.2,97.88,94.48,fist
18.272000000000002,89.37,88.32,85.66,84.34,81.1,79.94,76.95,72.55,fist
18.282,6.54,6.3,5.71,5.7,4.38,4.53,2.73,0.14,fist
18.292,-57.55,-56.53,-54.57,-53.03,-51.12,-48.96,-47.94,-46.68,fist
18.302,-69.46,-67.95,-65.82,-64.06,-61.16,-58.5,-55.99,-53.03,fist
18.313,-63.53,-63.08,-62.31,-61.5,-59.68,-58.26,-56.28,-53.6,fist
18.323,-60.03,-59.77,-59.09,-58.34,-56.43,-55.17,-53.01,-49.49,fist
18.333,4.06,4.98,5.65,6.44,8.08,9.22,10.77,13.22,fist
18.344,60.59,61.45,61.69,61.92,62.6,62.66,62.75,62.68,fist
18.354,23.4,22.65,22.11,21.17,20.84,19.32,18.54,17.83,fist
18.365,-10.86,-14.17,-16.14,-18.75,-20.9,-24.46,-26.32,-27.24,fist
18.375,-0.42,-3.1,-5.09,-7.31,-9.95,-13.41,-15.4,-16.8,fist
18.385,12.58,13.0,12.48,12.19,10.76,9.23,8.05,6.15,fist
18.396,31.74,32.59,32.52,32.54,31.57,30.71,29.6,27.19,fist
18.406,32.93,32.09,31.66,30.9,30.18,29.37,28.82,27.57,fist
18.417,32.6,30.54,29.94,28.66,28.14,27.05,26.93,26.8,fist
18.427,37.34,35.44,34.94,33.67,32.87,31.24,30.52,29.69,fist
18.438,-12.49,-12.17,-11.47,-11.37,-10.86,-10.95,-10.55,-10.43,fist
18.448,-62.76,-59.55,-56.95,-54.62,-51.43,-48.29,-45.06,-42.17,fist
18.458,-69.2,-64.95,-61.62,-58.01,-53.5,-48.42,-43.61,-38.97,fist
18.469,-58.61,-55.87,-53.89,-51.16,-48.37,-44.5,-41.39,-38.17,fist
18.479,-4.59,-4.44,-5.27,-4.94,-6.44,-5.89,-7.29,-9.5,fist
18.489,50.3,48.96,46.49,45.28,41.44,40.4,36.43,31.19,fist
18.499000000000002,53.32,52.3,50.92,50.11,48.34,48.65,46.69,44.99,fist
18.51,26.08,25.84,25.99,26.15,26.97,28.56,29.42,31.81,fist
18.52,-18.97,-18.66,-18.28,-17.66,-16.87,-15.68,-14.57,-12.41,fist
18.531,-18.3,-18.12,-18.62,-18.48,-19.79,-20.22,-21.36,-23.08,fist
18.542,37.28,36.2,34.38,33.3,30.21,28.37,25.2,20.85,fist
18.552,47.07,45.64,44.25,43.02,41.29,40.3,38.39,36.73,fist
18.563,4.02,4.16,5.03,5.22,6.81,8.11,9.29,11.95,fist
18.574,-43.43,-41.88,-39.51,-38.12,-34.76,-32.66,-29.73,-25.5,fist
18.584,-67.46,-65.97,-64.08,-62.95,-60.43,-60.22,-57.84,-55.15,fist
18.595,-37.58,-37.89,-38.19,-38.79,-39.15,-42.29,-42.55,-43.7,fist
18.605,6.47,4.28,2.34,0.05,-1.97,-7.23,-9.16,-11.95,fist
18.616,7.58,5.13,3.94,1.37,1.38,-3.71,-3.86,-3.35,fist
18.625999999999998,-17.35,-19.05,-18.76,-20.46,-18.1,-21.55,-19.53,-16.06,fist
