Time Ch1 Ch2 Ch3 Ch4 Ch5 Ch6 Ch7 Ch8 Ch9 Ch10 Ch11 Ch12 Ch13 Ch14
3.066 -4.11 -4.31 -3.59 -3.43 -3.39 -3.22 -2.83 -2.58 -1.39 -1.40 -0.99 -1.13 -0.98 -0.93
3.074 -4.56 -4.76 -3.98 -4.13 -4.03 -4.09 -3.73 -3.53 -2.91 -2.81 -2.81 -3.27 -3.15 -3.39
3.083 -3.10 -3.22 -2.86 -3.30 -3.23 -3.59 -3.54 -3.57 -2.97 -2.86 -3.34 -3.85 -3.85 -4.18
3.091 -0.04 -0.09 -0.22 -0.63 -0.61 -0.99 -1.05 -1.19 -1.84 -1.65 -2.42 -2.79 -2.84 -3.00
3.099 -0.13 -0.27 -0.56 -0.80 -0.84 -1.09 -0.93 -0.95 -0.71 -0.36 -1.07 -1.28 -1.13 -1.09
3.108 -2.97 -3.18 -3.42 -3.61 -3.74 -3.94 -3.61 -3.51 -2.17 -1.80 -2.32 -2.45 -2.09 -2.03
3.116 -0.13 -0.19 -0.54 -0.76 -1.08 -1.49 -1.26 -1.42 -2.51 -2.29 -2.81 -2.95 -2.63 -2.54
3.124 3.63 3.74 3.14 2.93 2.51 1.96 1.98 1.51 0.62 0.79 0.32 0.30 0.40 0.66
3.133 1.06 1.20 0.52 0.46 0.16 -0.14 -0.25 -0.74 0.93 0.98 0.74 0.88 0.63 0.75
3.141 -0.04 0.17 -0.10 0.01 0.05 0.19 0.20 0.06 -0.67 -0.86 -0.69 -0.51 -0.66 -0.82
3.149 3.26 3.62 4.07 4.28 4.67 4.97 5.37 5.75 1.34 1.25 1.62 1.69 2.09 2.03
3.158 3.61 3.97 4.92 5.10 5.64 5.60 6.40 7.01 4.13 4.52 4.53 4.28 4.95 5.11
3.166 -1.31 -1.15 -0.10 -0.05 0.49 -0.01 0.97 1.58 3.18 4.03 3.70 3.21 3.82 3.97
3.174 -3.41 -3.45 -2.81 -2.99 -2.74 -3.41 -2.81 -2.44 -0.36 0.43 0.14 -0.31 0.12 0.11
3.183 0.94 0.74 0.78 0.36 0.06 -0.61 -0.70 -0.89 -1.07 -0.82 -1.04 -1.30 -1.02 -0.98
3.191 0.50 0.28 0.19 -0.19 -0.63 -0.99 -1.26 -1.54 0.27 0.05 -0.15 -0.17 -0.06 0.18
3.199 -4.37 -4.43 -4.32 -4.35 -4.50 -4.30 -4.34 -4.31 -0.77 -1.14 -1.26 -1.12 -1.38 -1.20
3.208 -2.77 -2.73 -2.68 -2.54 -2.60 -2.06 -2.16 -2.12 -1.36 -1.73 -1.79 -1.55 -1.98 -2.03
3.216 1.21 1.19 0.93 0.90 0.71 1.22 0.80 0.64 -0.57 -0.99 -0.97 -0.70 -1.12 -1.33
3.224 2.60 2.56 2.05 1.98 1.71 2.14 1.47 1.16 -0.34 -0.77 -0.59 -0.43 -0.90 -1.11
3.233 2.34 2.28 1.83 1.98 1.94 2.47 1.95 1.79 -0.53 -0.75 -0.35 -0.17 -0.38 -0.40
3.241 0.54 0.46 0.27 0.55 0.81 1.52 1.34 1.48 0.03 0.09 0.56 0.83 0.92 1.01
3.249 -1.61 -1.76 -1.89 -1.88 -1.72 -1.14 -1.42 -1.61 0.98 1.00 1.24 1.32 1.23 1.11
3.258 -3.12 -3.42 -3.69 -4.02 -4.21 -4.06 -4.61 -5.40 -2.86 -3.03 -3.01 -3.00 -3.29 -3.35
3.266 0.16 -0.10 -0.32 -0.48 -0.65 -0.72 -0.96 -1.54 -4.81 -4.84 -4.77 -4.59 -4.61 -4.27
3.274 5.00 4.95 5.08 5.35 5.54 5.49 5.92 6.24 1.93 2.21 2.34 2.50 2.94 3.39
3.282 2.50 2.65 2.97 3.22 3.54 3.24 4.00 4.65 4.42 4.82 4.73 4.60 5.16 5.35
3.291 -2.44 -2.16 -1.94 -1.98 -1.89 -2.53 -1.97 -1.72 0.53 0.80 0.37 -0.06 0.16 -0.04
3.299 -3.21 -2.87 -2.75 -2.72 -2.71 -3.28 -2.94 -2.83 0.07 0.11 -0.29 -0.71 -0.79 -1.18
3.307 -2.28 -1.91 -1.84 -1.50 -1.39 -1.68 -1.45 -1.16 2.30 2.10 2.13 1.95 1.71 1.30
3.316 -3.16 -2.89 -2.96 -2.58 -2.54 -2.81 -2.81 -2.60 -0.28 -0.67 -0.37 -0.41 -0.79 -1.18
3.324 -3.39 -3.27 -3.43 -3.29 -3.34 -3.71 -3.86 -3.81 -7.15 -7.48 -7.31 -7.29 -7.57 -7.75
3.332 2.05 2.08 2.04 1.96 1.88 1.61 1.46 1.51 -3.38 -3.42 -3.54 -3.58 -3.71 -3.73
3.341 6.92 6.69 6.86 6.57 6.44 6.35 6.20 6.23 7.63 7.75 7.60 7.52 7.46 7.49
3.349 5.42 5.02 5.40 4.97 4.91 4.93 4.95 4.96 7.53 7.73 7.71 7.84 7.96 8.11
3.357 2.69 2.42 2.84 2.44 2.47 2.50 2.71 2.72 1.58 1.94 1.91 2.13 2.38 2.60
3.366 1.36 1.29 1.60 1.28 1.35 1.31 1.53 1.57 -0.72 -0.21 -0.38 -0.27 0.06 0.32
3.374 -0.22 -0.10 0.16 -0.09 -0.07 -0.12 0.11 0.07 -0.21 0.25 -0.01 -0.07 0.29 0.50
3.382 -4.32 -4.24 -4.13 -4.35 -4.72 -4.90 -4.85 -5.25 -1.47 -1.37 -1.61 -1.79 -1.64 -1.66
3.391 -7.22 -7.35 -7.57 -7.68 -8.41 -8.75 -8.99 -9.57 -7.47 -7.77 -7.93 -8.00 -7.99 -8.14
3.399 -4.51 -4.71 -5.07 -4.89 -5.37 -5.47 -5.62 -5.77 -8.20 -8.55 -8.52 -8.39 -8.28 -8.29
3.407 -0.74 -0.83 -1.06 -0.60 -0.31 0.27 0.38 0.85 -1.28 -1.50 -1.21 -1.01 -0.87 -0.76
3.416 2.16 2.25 2.13 2.65 3.48 4.60 4.67 5.20 4.32 4.07 4.48 4.66 4.55 4.61
3.424 3.63 3.66 3.24 3.58 4.20 5.33 4.71 4.66 5.98 5.51 5.99 6.17 5.66 5.65
3.432 3.14 3.01 2.10 2.48 2.71 4.03 2.60 2.17 4.19 3.44 4.18 4.40 3.55 3.54
3.441 2.68 2.60 1.59 2.23 2.47 4.07 2.56 2.32 2.30 1.60 2.51 2.75 2.00 2.07
3.449 -0.67 -0.67 -1.30 -0.94 -0.79 0.19 -0.65 -0.78 -1.10 -1.24 -0.70 -0.44 -0.54 -0.26
3.457 -4.77 -4.48 -4.40 -4.64 -4.63 -4.72 -4.41 -4.37 -6.21 -5.64 -5.89 -5.76 -5.23 -4.87
3.466 -4.43 -3.81 -3.13 -3.61 -3.55 -4.39 -3.16 -2.79 -4.93 -4.03 -4.86 -5.17 -4.56 -4.57
3.474 0.29 0.78 1.45 1.06 0.94 -0.31 0.83 1.13 0.78 1.44 0.59 0.01 0.27 -0.21
3.482 6.68 6.76 7.27 7.10 6.67 5.18 5.92 5.91 5.30 5.60 5.02 4.56 4.61 4.07
3.491 6.08 5.86 6.46 6.33 5.86 4.20 4.89 4.72 5.89 6.04 5.54 5.32 5.28 5.02
3.499 -0.19 -0.44 0.20 -0.05 -0.28 -1.72 -1.08 -1.18 1.34 1.36 0.91 0.85 0.65 0.62
3.507 -2.33 -2.52 -2.11 -2.44 -2.47 -3.45 -3.06 -3.08 -1.57 -1.71 -1.90 -1.90 -2.09 -2.04
3.516 -1.00 -1.28 -1.38 -1.74 -1.98 -2.69 -2.76 -3.04 -1.52 -1.79 -1.73 -1.73 -1.74 -1.70
3.524 1.26 0.96 0.62 0.47 0.19 -0.07 -0.37 -0.64 -1.23 -1.52 -1.34 -1.32 -1.22 -1.19
3.532 0.32 0.21 0.15 0.31 0.50 0.96 0.89 1.16 -0.63 -0.66 -0.36 -0.21 0.01 0.16
3.541 -4.67 -4.72 -4.58 -4.38 -4.03 -3.06 -3.15 -2.70 -2.33 -2.09 -1.62 -1.29 -0.91 -0.60
3.549 -5.83 -5.98 -5.91 -5.80 -5.69 -4.55 -4.88 -4.70 -4.23 -4.12 -3.65 -3.39 -3.00 -2.80
3.557 -2.85 -2.98 -2.97 -2.87 -2.88 -1.87 -2.17 -2.20 -3.41 -3.66 -3.44 -3.49 -3.33 -3.41
3.566 0.42 0.55 0.53 0.82 0.91 1.79 1.69 1.77 -0.69 -0.88 -0.83 -1.02 -1.12 -1.24
3.574 1.80 2.16 2.24 2.66 2.94 3.72 3.89 4.32 2.39 2.71 2.74 2.69 2.56 2.63
3.583 0.93 1.22 1.19 1.25 1.36 1.55 1.75 2.01 2.56 3.08 2.83 2.80 2.81 2.94
3.591 1.79 1.90 1.54 1.17 0.89 0.48 0.43 0.14 1.82 2.02 1.42 1.20 1.22 1.18
3.599 2.66 2.66 2.30 2.03 1.81 1.45 1.26 0.94 2.78 2.66 2.20 1.96 1.78 1.61
3.608 2.25 2.10 1.84 1.85 1.84 1.75 1.38 1.20 3.23 2.92 2.89 2.88 2.41 2.22
3.616 3.75 3.45 3.11 3.14 3.10 2.97 2.36 2.01 2.82 2.26 2.49 2.64 2.14 1.95
3.624 3.16 2.99 2.60 2.52 2.43 2.09 1.64 1.07 0.70 0.11 0.39 0.57 0.33 0.28
3.633 -1.43 -1.35 -1.56 -1.56 -1.53 -1.80 -1.75 -2.12 -2.47 -2.70 -2.37 -2.15 -2.13 -1.96
3.641 -4.02 -3.79 -3.60 -3.42 -3.10 -3.10 -2.56 -2.33 -3.30 -3.05 -2.69 -2.46 -2.27 -2.07
3.649 -1.20 -0.94 -0.57 -0.42 -0.03 0.02 0.64 1.15 -1.13 -0.70 -0.56 -0.48 -0.14 -0.09
3.658 2.15 2.31 2.51 2.44 2.55 2.59 2.85 3.14 2.61 2.94 2.80 2.69 3.11 3.09
3.666 -0.79 -0.70 -0.62 -0.83 -0.94 -0.84 -1.01 -1.02 1.96 2.21 2.03 1.91 2.28 2.35
3.674 -5.15 -5.04 -5.00 -5.18 -5.36 -5.29 -5.64 -5.87 -4.18 -3.97 -4.22 -4.24 -4.09 -3.89
3.683 -3.48 -3.43 -3.27 -3.28 -3.39 -3.33 -3.48 -3.60 -6.09 -5.93 -6.27 -6.22 -6.28 -6.09
3.691 0.98 0.92 1.27 1.33 1.31 1.36 1.39 1.48 -2.05 -2.01 -2.23 -2.25 -2.37 -2.35
3.699 3.82 3.64 3.85 3.73 3.65 3.52 3.30 3.29 2.88 2.68 2.62 2.40 2.20 1.94
3.708 3.18 2.95 2.88 2.82 2.79 2.54 2.15 2.13 5.06 4.70 4.68 4.39 4.00 3.55
3.716 -0.39 -0.64 -0.81 -0.52 -0.49 -0.70 -0.83 -0.59 1.39 1.11 1.09 0.98 0.50 0.24
3.725 -3.11 -3.41 -3.57 -3.13 -3.21 -3.35 -3.22 -2.92 -2.94 -3.16 -3.02 -2.78 -3.07 -2.90
3.733 -2.54 -2.70 -2.77 -2.28 -2.25 -2.24 -2.06 -1.75 -3.68 -3.98 -3.41 -2.85 -2.78 -2.47
3.741 0.43 0.57 0.52 1.04 1.31 1.49 1.73 2.07 -1.09 -1.39 -0.50 0.02 0.24 0.28
3.750 1.62 1.80 1.72 1.92 2.16 2.25 2.59 2.73 3.70 3.59 4.18 4.19 4.23 3.97
3.758 0.52 0.57 0.57 0.26 0.28 0.17 0.65 0.53 4.23 4.36 4.27 3.79 3.76 3.44
3.766 0.37 0.37 0.49 -0.09 -0.20 -0.30 0.26 0.08 1.37 1.73 1.25 0.82 1.02 0.93
3.774 0.16 0.17 0.26 -0.17 -0.32 -0.28 0.10 -0.04 -0.35 0.14 -0.22 -0.28 0.11 0.34
3.783 -0.95 -0.93 -1.04 -1.30 -1.69 -1.64 -1.74 -1.95 -2.62 -2.18 -2.35 -2.16 -1.83 -1.40
3.791 -2.32 -2.36 -2.64 -3.00 -3.67 -3.67 -4.08 -4.53 -4.28 -4.13 -4.42 -4.29 -4.16 -3.82
3.799 -1.26 -1.21 -1.24 -1.43 -1.80 -1.58 -1.73 -2.00 -2.78 -2.91 -3.26 -3.37 -3.33 -3.37
3.808 4.51 4.78 5.12 5.30 5.55 6.04 6.25 6.44 2.86 2.73 2.69 2.46 2.52 2.23
3.816 6.42 6.62 6.85 6.99 7.35 7.77 7.61 7.67 6.92 6.81 6.94 6.83 6.70 6.47
3.824 0.54 0.51 0.33 0.22 0.39 0.57 -0.20 -0.57 2.69 2.59 2.59 2.68 2.41 2.40
3.833 -2.91 -3.00 -3.32 -3.40 -3.24 -3.29 -4.13 -4.47 -2.31 -2.22 -2.40 -2.22 -2.39 -2.19
3.841 0.45 0.54 0.39 0.56 0.88 0.62 0.13 0.15 -1.01 -0.87 -1.24 -1.23 -1.38 -1.22
3.849 3.43 3.64 3.61 3.85 4.11 3.75 3.50 3.66 1.41 1.32 1.01 0.89 0.62 0.55
3.858 -0.34 -0.28 -0.28 -0.36 -0.32 -0.59 -0.78 -0.79 -0.43 -0.75 -0.70 -0.73 -1.02 -1.15
3.866 -4.99 -5.07 -4.83 -5.01 -4.81 -4.77 -4.57 -4.43 -3.36 -3.58 -3.27 -3.19 -3.31 -3.30
3.874 -3.44 -3.51 -3.17 -3.15 -2.79 -2.67 -2.06 -1.64 -2.17 -2.02 -1.68 -1.58 -1.39 -1.30
3.882 -1.24 -1.33 -1.15 -1.14 -1.14 -1.18 -0.66 -0.47 -0.37 -0.02 0.04 0.00 0.36 0.42
3.891 -1.28 -1.30 -1.18 -1.18 -1.49 -1.47 -1.04 -1.02 -0.74 -0.45 -0.61 -0.83 -0.41 -0.44
3.899 -1.60 -1.57 -1.45 -1.25 -1.44 -1.35 -0.88 -0.67 0.09 0.19 0.22 0.07 0.41 0.30
3.907 -2.19 -2.22 -2.19 -1.73 -1.74 -1.76 -1.40 -1.07 0.64 0.51 0.92 1.01 1.08 0.89
3.916 0.05 -0.11 -0.21 0.28 0.20 0.00 0.13 0.33 -0.40 -0.65 0.04 0.32 0.27 0.11
3.924 3.59 3.29 3.10 3.25 3.00 2.64 2.61 2.58 0.41 0.12 0.59 0.86 0.78 0.75
3.932 5.11 4.77 4.47 4.23 3.91 3.40 3.33 3.04 2.56 2.26 2.17 2.17 1.98 1.99
3.941 4.88 4.53 4.11 3.71 3.30 2.62 2.39 1.84 2.74 2.47 2.05 1.90 1.63 1.69
3.949 0.57 0.42 0.29 0.10 -0.24 -0.75 -0.83 -1.22 0.45 0.39 -0.05 -0.18 -0.34 -0.15
3.957 -5.46 -5.31 -4.96 -4.84 -4.86 -4.87 -4.49 -4.34 -3.30 -2.96 -3.25 -3.35 -3.18 -2.95
3.966 -5.68 -5.56 -5.18 -5.23 -5.13 -4.99 -4.62 -4.33 -5.62 -5.20 -5.40 -5.46 -5.10 -4.95
3.974 0.46 0.48 0.65 0.25 0.30 0.31 0.37 0.44 -2.79 -2.50 -2.78 -2.88 -2.61 -2.60
3.982 3.97 4.19 4.29 3.90 4.10 4.22 4.20 4.23 2.87 3.10 2.87 2.75 2.86 2.79
3.991 1.24 1.71 1.78 1.65 2.09 2.53 2.51 2.69 4.99 5.26 5.16 5.10 4.98 4.88
3.999 0.12 0.55 0.43 0.44 0.88 1.53 1.27 1.51 3.03 3.32 3.38 3.43 3.22 3.19
4.007 1.42 1.60 1.10 1.07 1.23 1.81 1.08 0.96 1.01 1.00 1.14 1.38 1.13 1.18
4.016 -0.29 -0.23 -0.90 -0.95 -1.13 -0.69 -1.69 -2.36 -0.55 -1.02 -1.00 -0.71 -1.25 -1.32
4.024 -1.77 -1.73 -2.13 -2.02 -2.29 -1.68 -2.57 -3.25 -2.87 -3.51 -3.46 -3.20 -3.90 -4.03
4.032 0.96 0.99 1.01 1.45 1.42 2.41 1.70 1.56 -1.95 -2.56 -2.11 -1.77 -2.30 -2.36
4.041 1.99 2.00 2.29 3.03 3.40 4.42 4.08 4.54 2.72 2.31 3.14 3.44 3.33 3.31
4.049 -1.47 -1.61 -1.19 -0.62 -0.04 0.30 0.60 1.31 3.23 3.16 3.85 3.92 4.30 4.29
4.057 -1.05 -1.45 -1.07 -1.04 -0.85 -1.54 -0.87 -0.54 -0.17 0.07 0.08 -0.14 0.44 0.37
4.066 2.61 2.07 2.30 1.90 1.52 0.33 0.95 0.75 -0.84 -0.48 -0.96 -1.36 -0.76 -0.81
4.074 1.08 0.77 0.88 0.48 0.04 -0.69 -0.28 -0.63 0.40 0.68 0.23 -0.15 0.47 0.61
4.082 -3.71 -3.57 -3.44 -3.61 -3.77 -3.80 -3.41 -3.54 -0.41 -0.14 -0.43 -0.73 -0.25 -0.02
4.091 -5.19 -4.85 -4.67 -4.69 -4.61 -4.39 -3.87 -3.62 -3.38 -3.11 -3.28 -3.51 -3.36 -3.23
4.099 -2.49 -2.24 -2.19 -2.22 -2.13 -2.15 -1.77 -1.56 -4.06 -4.00 -4.07 -4.24 -4.46 -4.52
4.107 -0.80 -0.75 -0.95 -1.13 -1.19 -1.62 -1.62 -1.75 -2.11 -2.33 -2.36 -2.54 -2.90 -3.04
4.116 0.59 0.57 0.22 -0.06 -0.06 -0.62 -0.81 -0.99 -0.70 -1.02 -1.10 -1.24 -1.49 -1.67
4.124 3.78 3.83 3.50 3.42 3.54 3.09 2.99 2.94 1.74 1.51 1.45 1.47 1.30 1.00
4.132 2.55 2.68 2.51 2.75 2.87 2.57 2.71 2.87 3.09 3.08 3.10 3.35 3.24 3.00
4.141 0.23 0.49 0.60 1.02 1.14 0.95 1.27 1.59 1.98 2.19 2.38 2.74 2.75 2.76
4.149 1.01 1.23 1.50 1.74 1.71 1.42 1.61 1.80 1.82 2.06 2.35 2.72 2.77 3.00
4.157 -0.09 -0.14 0.04 -0.15 -0.53 -1.01 -1.19 -1.32 0.28 0.36 0.43 0.77 0.68 1.01
4.166 0.51 0.24 0.29 -0.13 -0.79 -1.15 -1.70 -2.12 -2.26 -2.33 -2.51 -2.34 -2.57 -2.32
4.174 3.05 2.67 2.73 2.46 1.89 1.86 1.40 1.07 -1.40 -1.40 -1.73 -1.82 -1.95 -1.81
4.182 1.83 1.47 1.67 1.56 1.45 1.71 1.83 1.82 0.90 1.15 0.72 0.46 0.65 0.74
4.191 -0.75 -0.98 -0.77 -0.86 -0.68 -0.36 0.12 0.19 1.42 1.83 1.47 1.18 1.60 1.64
4.199 -0.81 -0.95 -0.91 -0.90 -0.74 -0.50 -0.20 -0.13 1.33 1.57 1.47 1.31 1.57 1.57
4.207 1.21 1.18 1.08 1.38 1.59 1.78 1.84 2.04 2.47 2.45 2.72 2.79 2.75 2.72
4.216 -1.80 -1.80 -1.97 -1.55 -1.25 -1.05 -1.00 -0.68 1.30 1.12 1.61 1.87 1.68 1.61
4.224 -7.67 -7.69 -7.92 -7.72 -7.40 -7.11 -7.06 -6.75 -3.32 -3.48 -3.05 -2.82 -2.96 -3.12
4.232 -3.79 -3.66 -3.99 -4.02 -3.75 -3.39 -3.57 -3.49 -4.13 -4.16 -3.87 -3.75 -3.81 -3.96
4.240 2.48 2.78 2.33 2.25 2.33 2.65 2.11 1.87 -1.27 -1.41 -1.52 -1.52 -1.76 -1.80
4.249 1.63 1.90 1.50 1.32 1.20 1.54 0.94 0.46 -1.66 -1.96 -2.44 -2.63 -3.03 -3.00
4.257 1.91 2.02 1.84 1.60 1.49 2.04 1.81 1.44 -1.66 -1.84 -2.08 -2.41 -2.50 -2.45
4.265 4.43 4.55 4.56 4.57 4.69 5.43 5.60 5.63 4.39 4.41 4.49 4.16 4.52 4.48
4.274 2.39 2.67 2.51 2.70 2.92 3.47 3.52 3.59 7.32 7.36 7.38 7.13 7.68 7.52
4.282 -4.23 -4.04 -4.48 -4.44 -4.51 -4.41 -4.74 -5.01 -1.40 -1.61 -1.80 -1.94 -1.61 -1.71
4.290 -6.22 -6.17 -6.35 -6.37 -6.52 -6.62 -6.73 -6.91 -8.40 -8.68 -8.79 -8.87 -8.78 -8.77
4.299 1.48 1.57 2.04 2.11 2.25 2.27 2.67 2.96 -1.89 -1.85 -1.59 -1.58 -1.46 -1.39
4.307 5.97 6.05 6.93 6.94 7.19 7.27 7.62 8.05 6.27 6.32 6.69 6.84 6.78 6.83
4.315 0.57 0.51 1.40 1.25 1.33 1.26 1.14 1.31 4.37 4.26 4.56 4.85 4.49 4.53
4.324 -2.96 -3.22 -2.42 -2.64 -2.77 -3.08 -3.53 -3.56 -3.35 -3.47 -3.02 -2.57 -2.91 -2.87
4.332 0.32 -0.06 0.84 0.86 0.72 0.23 -0.21 -0.11 -4.13 -4.46 -3.89 -3.42 -3.75 -3.90
4.340 2.63 2.32 3.22 3.49 3.52 2.83 2.68 2.98 4.31 3.77 4.22 4.53 4.16 3.90
4.349 -1.59 -1.83 -1.53 -1.35 -1.32 -2.37 -2.22 -2.05 5.46 5.20 5.25 5.35 5.16 5.09
4.357 -5.24 -5.49 -6.00 -6.11 -6.22 -7.53 -7.21 -7.43 -3.18 -2.75 -3.24 -3.37 -3.22 -3.03
4.365 -0.30 -0.49 -1.31 -1.57 -1.66 -2.80 -2.28 -2.66 -5.88 -4.84 -5.66 -5.90 -5.52 -5.17
4.374 4.63 4.62 4.05 3.99 4.04 3.33 4.13 3.95 0.23 1.34 0.51 0.27 0.48 0.76
4.382 1.55 1.80 1.33 1.56 1.52 1.28 1.99 1.97 4.55 5.39 4.80 4.49 4.59 4.62
4.391 -2.51 -2.25 -3.12 -2.84 -3.21 -3.10 -2.88 -2.91 -0.90 -0.54 -0.86 -1.10 -0.83 -0.86
4.399 -1.01 -0.87 -2.01 -1.80 -2.27 -1.86 -1.87 -1.78 -6.45 -6.61 -6.77 -6.71 -6.52 -6.39
4.407 2.76 2.99 2.14 2.38 2.27 3.08 3.35 3.74 -1.03 -1.26 -1.15 -0.93 -0.84 -0.75
4.416 1.74 2.03 1.65 1.83 1.96 3.05 3.31 3.62 4.64 4.52 4.92 5.09 5.11 4.95
4.424 -1.84 -1.79 -2.01 -2.23 -2.43 -1.47 -1.93 -2.36 2.30 1.97 2.44 2.48 2.27 1.92
4.433 -1.53 -1.83 -2.08 -2.73 -3.28 -2.56 -3.54 -4.48 -2.23 -2.88 -2.64 -2.68 -3.07 -3.36
4.441 0.36 0.04 0.18 -0.39 -0.56 0.27 -0.39 -0.87 -3.13 -3.88 -3.85 -3.94 -4.29 -4.39
4.449 2.25 2.31 3.11 3.04 3.62 4.65 4.62 4.89 1.39 0.90 1.07 0.86 0.85 0.82
4.458 2.75 3.01 4.04 4.23 5.07 5.83 6.14 6.62 5.32 5.13 5.38 5.16 5.33 5.29
4.466 -0.39 -0.30 0.50 0.54 1.09 1.28 1.58 1.82 4.08 4.00 4.08 3.93 3.92 3.88
4.475 -2.12 -2.23 -1.71 -1.82 -1.71 -1.99 -1.87 -1.94 1.58 1.59 1.52 1.30 1.30 1.26
4.483 -1.45 -1.53 -1.13 -1.27 -1.41 -2.11 -2.06 -2.17 -0.66 -0.47 -0.75 -0.96 -0.71 -0.61
4.491 -1.37 -1.29 -0.89 -0.98 -1.05 -1.95 -1.85 -1.69 -2.71 -2.37 -2.74 -2.74 -2.32 -2.00
4.500 -1.74 -1.60 -1.22 -1.14 -1.07 -1.74 -1.96 -1.55 -3.49 -3.25 -3.43 -3.25 -2.96 -2.63
4.508 -2.05 -1.91 -1.65 -1.35 -1.17 -1.47 -2.46 -1.90 -3.78 -3.79 -3.68 -3.36 -3.37 -3.12
